"Gateways","Платежни канали"
"Synchronize Gateways","Синхронизиране на платежни канали"
"Save","Запазване"
"Save and Continue Edit","Запазване и продължаване на редакцията"
"Delete","Изтриване"
"Edit Gateway '%1'","Редактиране на платежен канал '%1'"
"Add Gateway","Добавяне на платежен канал"
"Gateways Info","Информация за платежния канал"
"General","Общи"
"Gateway Status","Статус на канала"
"Yes","Да"
"No","Не"
"Gateway Currency","Валута"
"Gateway ID","ID на шлюза"
"Bank Name","Име на банката"
"Gateway Name","Име"
"Gateway Description","Описание"
"Gateway Sort Order","Подредба"
"Gateway Type","Тип"
"Is separated method","Третирай като отделен метод на плащане"
"Gateway Logo URL","URL адрес на логото"
"Use Own Logo","Използвай собствено лого"
"Gateway Logo Path","Път до логото"
"Status Date","Дата на последна актуализация"
"Force Disable","Принудително деактивиране"
"Gateways Information","Информация за платежните канали"
"Autopay Refund","Възстановяване от Autopay"
"Email","Имейл"
"Name","Име"
"Add Receiver","Добавяне на получател"
"Quick online payment","Бързо онлайн плащане"
"This gateway no longer exists.","Този платежен канал вече не съществува."
"The gateway has been deleted.","Платежният канал беше изтрит."
"Autopay","Autopay"
"Manage Gateways","Управление на платежни канали"
"The gateway has been saved.","Платежният канал беше запазен."
"Gateway list has been synchronized!","Списъкът с платежни канали е синхронизиран!"
"Order ID is mandatory.","ID на поръчката е задължително."
"There is no succeeded payment transaction.","Няма успешна трансакция за плащане."
"There is no such order.","Няма такава поръчка."
"Gateway ID: %1 ","ID на платежен канал: %1 "
"Name: %1 ","Име: %1 "
"CRON Service","CRON услуга"
"Something went wrong. Please try again later.","Възникна грешка. Моля, опитайте отново по-късно."
"Passed refund amount is to high! Maximum amount of refund is %1.","Сумата за възстановяване е твърде висока! Максималната сума за възстановяване е %1."
"Invalid response hash!","Невалиден хеш на отговора!"
"Refunded %1. Transaction ID: ""%2""","Възстановени %1. ID на трансакция: ""%2"""
"Could not save Autopay Transaction entity: ","Не може да се запише трансакцията на Autopay: "
"Object with id ""%1"" does not exist.","Обект с ID ""%1"" не съществува."
"You are about to perform a refund from Autopay service. You can do full or partial refund.","Предстои ви да извършите възстановяване от услугата Autopay. Можете да направите пълно или частично възстановяване."
"Full refund","Пълно възстановяване"
"Partial refund","Частично възстановяване"
"Refund amount","Сума за възстановяване"
"Refund Autopay","Възстановяване от Autopay"
"Max %1","Макс. %1"
"Send","Изпрати"
"Are you sure you want to perform a refund?","Сигурни ли сте, че искате да извършите възстановяване?"
"Refund request has been successfully sent to Autopay.","Заявката за възстановяване е изпратена успешно до Autopay."
"You will be redirected to the Autopay secure service payment after submitting the order.","След като потвърдите поръчката, ще бъдете пренасочени към сигурното плащане на Autopay."
"My billing and shipping address are the same","Адресът ми за фактуриране и доставка е същият"
"Update","Актуализирай"
"Cancel","Отказ"
"No online payment is available at this time. Feel free to contact us about that.","В момента не се предлага онлайн плащане. Моля, свържете се с нас за повече информация."
"Choose the way you want to pay.","Изберете начин на плащане."
"Place Order","Направи поръчка"
"%gateways","%gateways"
"%source","%source"
"Refund type is not selected.","Не е избран тип на възстановяване."
"Invalid refund amount. Example of correct value: 123.23","Невалидна сума за възстановяване. Пример за правилна стойност: 123.23"
"Online payment Autopay","Онлайн плащане Autopay"
"Enabled","Активиран"
"Test Mode","Тестов режим"
"Status waiting payment","Статус за изчакващо плащане"
"Status accept payment","Статус за прието плащане"
"Status error payment","Статус за грешно плащане"
"Status full refund","Статус за пълно възстановяване"
"Status partial refund","Статус за частично възстановяване"
"Unchangeable statuses","Непроменими статуси"
"Transaction Life Hours","Време на валидност на плащането (часове)"
"Sort Order","Подредба"
"Title","Заглавие"
"Enabled disabled gateways notification","Активиране на известия за деактивирани канали"
"Disabled gateways notification Sender Name","Име на подателя за известия за деактивирани канали"
"Disabled gateways notification Receivers","Получатели на известия за деактивирани канали"
"Disabled gateways notification Template","Шаблон за известия за деактивирани канали"
"Title Automatic Gateway","Име на автоматичното плащане"
