"Gateways","Πύλες πληρωμών"
"Synchronize Gateways","Συγχρονισμός πυλών πληρωμών"
"Save","Αποθήκευση"
"Save and Continue Edit","Αποθήκεvση και συνέχεια επεξεργασίας"
"Delete","Διαγραφή"
"Edit Gateway '%1'","Επεξεργασία πύλης πληρωμών '%1'"
"Add Gateway","Προσθήκη πύλης πληρωμών"
"Gateways Info","Πληροφορίες πύλης πληρωμών"
"General","Γενικά"
"Gateway Status","Κατάσταση πύλης"
"Yes","Ναι"
"No","Όχι"
"Gateway Currency","Νόμισμα"
"Gateway ID","Αναγνωριστικό πύλης"
"Bank Name","Όνομα τράπεζας"
"Gateway Name","Όνομα"
"Gateway Description","Περιγραφή"
"Gateway Sort Order","Σειρά"
"Gateway Type","Τύπος"
"Is separated method","Αντιμετώπιση ως ξεχωριστή μέθοδος πληρωμής"
"Gateway Logo URL","Διεύθυνση URL λογότυπου"
"Use Own Logo","Χρήση δικού σας λογότυπου"
"Gateway Logo Path","Διαδρομή λογότυπου"
"Status Date","Ημερομηνία τελευταίας ενημέρωσης"
"Force Disable","Εξαναγκασμένη απενεργοποίηση"
"Gateways Information","Πληροφορίες πυλών πληρωμών"
"Autopay Refund","Επιστροφή χρημάτων Autopay"
"Email","Email"
"Name","Όνομα"
"Add Receiver","Προσθήκη παραλήπτη"
"Quick online payment","Γρήγορη ηλεκτρονική πληρωμή"
"This gateway no longer exists.","Αυτή η πύλη πληρωμών δεν υπάρχει πλέον."
"The gateway has been deleted.","Η πύλη πληρωμών διαγράφηκε."
"Autopay","Autopay"
"Manage Gateways","Διαχείριση πυλών πληρωμών"
"The gateway has been saved.","Η πύλη πληρωμών αποθηκεύτηκε."
"Gateway list has been synchronized!","Η λίστα πυλών πληρωμών συγχρονίστηκε!"
"Order ID is mandatory.","Το αναγνωριστικό παραγγελίας είναι υποχρεωτικό."
"There is no succeeded payment transaction.","Δεν υπάρχει καμία επιτυχημένη συναλλαγή πληρωμής."
"There is no such order.","Δεν υπάρχει τέτοια παραγγελία."
"Gateway ID: %1 ","Αναγνωριστικό πύλης πληρωμών: %1 "
"Name: %1 ","Όνομα: %1 "
"CRON Service","Υπηρεσία CRON"
"Something went wrong. Please try again later.","Κάτι πήγε στραβά. Παρακαλώ δοκιμάστε ξανά αργότερα."
"Passed refund amount is to high! Maximum amount of refund is %1.","Το ποσό επιστροφής είναι πολύ υψηλό! Το μέγιστο ποσό επιστροφής είναι %1."
"Invalid response hash!","Μη έγκυρος hash απάντησης!"
"Refunded %1. Transaction ID: ""%2""","Επεστράφη %1. Αναγνωριστικό συναλλαγής: ""%2"""
"Could not save Autopay Transaction entity: ","Δεν ήταν δυνατή η αποθήκευση της συναλλαγής Autopay: "
"Object with id ""%1"" does not exist.","Το αντικείμενο με αναγνωριστικό ""%1"" δεν υπάρχει."
"You are about to perform a refund from Autopay service. You can do full or partial refund.","Πρόκειται να πραγματοποιήσετε επιστροφή χρημάτων από την υπηρεσία Autopay. Μπορείτε να κάνετε ολική ή μερική επιστροφή χρημάτων."
"Full refund","Ολική επιστροφή"
"Partial refund","Μερική επιστροφή"
"Refund amount","Ποσό επιστροφής"
"Refund Autopay","Επιστροφή χρημάτων Autopay"
"Max %1","Μέγ. %1"
"Send","Αποστολή"
"Are you sure you want to perform a refund?","Είστε βέβαιοι ότι θέλετε να πραγματοποιήσετε επιστροφή χρημάτων;"
"Refund request has been successfully sent to Autopay.","Το αίτημα επιστροφής χρημάτων εστάλη με επιτυχία στην Autopay."
"You will be redirected to the Autopay secure service payment after submitting the order.","Θα μεταφερθείτε στην ασφαλή πληρωμή της Autopay μετά την υποβολή της παραγγελίας."
"My billing and shipping address are the same","Η διεύθυνση χρέωσης και αποστολής μου είναι η ίδια"
"Update","Ενημέρωση"
"Cancel","Ακύρωση"
"No online payment is available at this time. Feel free to contact us about that.","Δεν διατίθεται καμία ηλεκτρονική πληρωμή αυτήν τη στιγμή. Μη διστάσετε να επικοινωνήσετε μαζί μας."
