"Gateways","Zahlungskanäle"
"Synchronize Gateways","Zahlungskanäle synchronisieren"
"Save","Speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Delete","Löschen"
"Edit Gateway '%1'","Zahlungskanal '%1' bearbeiten"
"Add Gateway","Zahlungskanal hinzufügen"
"Gateways Info","Informationen zum Zahlungskanal"
"General","Allgemein"
"Gateway Status","Kanalstatus"
"Yes","Ja"
"No","Nein"
"Gateway Currency","Währung"
"Gateway ID","Gateway-ID"
"Bank Name","Name der Bank"
"Gateway Name","Name"
"Gateway Description","Beschreibung"
"Gateway Sort Order","Reihenfolge"
"Gateway Type","Typ"
"Is separated method","Als separate Zahlungsmethode behandeln"
"Gateway Logo URL","Logo-URL"
"Use Own Logo","Eigenes Logo verwenden"
"Gateway Logo Path","Logo-Pfad"
"Status Date","Datum der letzten Aktualisierung"
"Force Disable","Deaktivierung erzwingen"
"Gateways Information","Informationen zu den Zahlungskanälen"
"Autopay Refund","Autopay-Rückerstattung"
"Email","E-Mail"
"Name","Name"
"Add Receiver","Empfänger hinzufügen"
"Quick online payment","Schnelle Online-Zahlung"
"This gateway no longer exists.","Dieser Zahlungskanal existiert nicht mehr."
"The gateway has been deleted.","Der Zahlungskanal wurde gelöscht."
"Autopay","Autopay"
"Manage Gateways","Zahlungskanäle verwalten"
"The gateway has been saved.","Der Zahlungskanal wurde gespeichert."
"Gateway list has been synchronized!","Die Liste der Zahlungskanäle wurde synchronisiert!"
"Order ID is mandatory.","Die Bestell-ID ist erforderlich."
"There is no succeeded payment transaction.","Es gibt keine erfolgreiche Zahlungstransaktion."
"There is no such order.","Es gibt keine solche Bestellung."
"Gateway ID: %1 ","Zahlungskanal-ID: %1 "
"Name: %1 ","Name: %1 "
"CRON Service","CRON-Dienst"
"Something went wrong. Please try again later.","Etwas ist schiefgelaufen. Bitte versuchen Sie es später erneut."
"Passed refund amount is to high! Maximum amount of refund is %1.","Der Rückerstattungsbetrag ist zu hoch! Der maximale Rückerstattungsbetrag beträgt %1."
"Invalid response hash!","Ungültiger Antwort-Hash!"
"Refunded %1. Transaction ID: ""%2""","%1 zurückerstattet. Transaktions-ID: ""%2"""
"Could not save Autopay Transaction entity: ","Autopay-Transaktion konnte nicht gespeichert werden: "
"Object with id ""%1"" does not exist.","Objekt mit der ID ""%1"" existiert nicht."
"You are about to perform a refund from Autopay service. You can do full or partial refund.","Sie sind dabei, eine Rückerstattung über den Autopay-Dienst vorzunehmen. Sie können eine vollständige oder teilweise Rückerstattung vornehmen."
"Full refund","Vollständige Rückerstattung"
"Partial refund","Teilweise Rückerstattung"
"Refund amount","Rückerstattungsbetrag"
"Refund Autopay","Autopay-Rückerstattung"
"Max %1","Max. %1"
"Send","Senden"
"Are you sure you want to perform a refund?","Sind Sie sicher, dass Sie eine Rückerstattung durchführen möchten?"
"Refund request has been successfully sent to Autopay.","Die Rückerstattungsanforderung wurde erfolgreich an Autopay gesendet."
"You will be redirected to the Autopay secure service payment after submitting the order.","Sie werden nach dem Absenden der Bestellung zur sicheren Zahlung von Autopay weitergeleitet."
"My billing and shipping address are the same","Meine Rechnungs- und Lieferadresse sind identisch"
"Update","Aktualisieren"
"Cancel","Abbrechen"
"No online payment is available at this time. Feel free to contact us about that.","Derzeit sind keine Online-Zahlungen verfügbar. Kontaktieren Sie uns gerne."
"Choose the way you want to pay.","Wählen Sie die gewünschte Zahlungsweise."
"Place Order","Bestellung aufgeben"
"%gateways","%gateways"
"%source","%source"
"Refund type is not selected.","Die Art der Rückerstattung wurde nicht ausgewählt."
"Invalid refund amount. Example of correct value: 123.23","Ungültiger Rückerstattungsbetrag. Beispiel für einen korrekten Wert: 123.23"
"Online payment Autopay","Online-Zahlung Autopay"
"Enabled","Aktiviert"
"Test Mode","Testmodus"
"Status waiting payment","Status für ausstehende Zahlung"
"Status accept payment","Status für akzeptierte Zahlung"
"Status error payment","Status für fehlerhafte Zahlung"
"Status full refund","Status für vollständige Rückerstattung"
"Status partial refund","Status für teilweise Rückerstattung"
"Unchangeable statuses","Unveränderliche Status"
"Transaction Life Hours","Gültigkeitsdauer der Zahlung"
"Sort Order","Sortierreihenfolge"
"Title","Titel"
"Enabled disabled gateways notification","Benachrichtigungen über deaktivierte Kanäle aktivieren"
"Disabled gateways notification Sender Name","Absender der Benachrichtigungen über deaktivierte Kanäle"
"Disabled gateways notification Receivers","Empfänger der Benachrichtigungen über deaktivierte Kanäle"
